SConaway/Memory,T,0,Gradle,0,1,2017-03-10 01:18:17 UTC,2019-06-17 23:23:57 UTC,F,F,T,F,F,F,F,T,F,F,T,F,35,91,56,NA,NA,NA
SensorsINI/jaer,T,0,Ant,67,32,2017-05-23 16:15:12 UTC,2020-07-20 19:01:39 UTC,T,F,F,F,F,F,T,T,F,T,T,F,2411,7028,4617,NA,NA,NA
Spectre7/spring,T,0,Maven,0,1,2019-02-11 08:19:18 UTC,2019-02-11 08:25:00 UTC,F,F,F,F,T,F,F,F,F,F,F,F,28,59,31,NA,NA,NA
Sponge-RPG-dev/NT-RPG-Mods-Bridge,NA,NA,NA,0,1,2018-09-11 19:17:55 UTC,2019-04-04 10:21:15 UTC,F,F,T,F,F,F,F,F,F,F,F,F,41,41,0,NA,NA,NA
StarTux/LastLog,T,0,Maven,3,4,2012-04-03 21:10:34 UTC,2018-09-18 09:02:00 UTC,F,F,F,F,T,F,F,F,F,F,F,F,24,62,38,NA,NA,NA
SurvivalGamesDevTeam/TheSurvivalGamesProxy,F,1,Maven,2,2,2014-02-03 01:47:36 UTC,2014-02-05 17:08:36 UTC,F,F,F,F,T,F,F,F,F,F,F,F,22,30,8,Java compilation,MojoFailure:maven-compiler-plugin,Source option 5 is no longer supported. Use 6 or later.
Sylrael/TpHadoopTfidf,F,1,Maven,3,1,2018-03-03 17:04:55 UTC,2018-03-08 14:34:11 UTC,F,F,F,F,T,F,F,F,F,F,F,F,37,37,0,dependencies,DependencyResolution,NA
TheElectronWill/TOML-javalib,T,0,Gradle,13,3,2016-01-28 20:54:07 UTC,2017-04-02 16:51:39 UTC,F,F,T,F,F,F,F,F,F,F,F,F,16,44,28,NA,NA,NA
TheVerbalMurder/Treasure-Hunter,F,1,Ant,1,1,2017-08-30 14:36:34 UTC,2017-09-03 08:55:01 UTC,T,F,F,F,F,F,F,T,F,F,F,F,23,23,0,packaging,Target:makejar,NA
TricksterOnline/TNT,NA,NA,NA,7,4,2017-08-20 16:10:33 UTC,2020-01-28 17:16:35 UTC,F,F,F,F,F,F,F,F,F,F,F,F,13,13,0,NA,NA,NA
ZainlessBrombie/TOGen,T,0,Maven,1,1,2018-04-27 11:02:30 UTC,2018-05-05 10:39:48 UTC,F,F,F,F,T,F,F,F,F,F,F,F,19,78,59,NA,NA,NA
Zergleb/Java-CsvToMaps,F,1,Gradle,0,1,2016-10-29 08:06:40 UTC,2018-05-23 20:32:50 UTC,F,F,T,F,F,F,F,T,F,F,F,F,33,49,16,Java compilation,CompilationFailed,cannot find symbol
aafomin/gerbera,T,0,Gradle,34,15,2017-11-26 19:44:02 UTC,2019-10-03 18:29:39 UTC,F,F,T,F,F,F,F,F,F,F,T,F,103,185,82,NA,NA,NA
aehrc/snorocket,T,0,Maven,17,4,2013-03-11 22:18:23 UTC,2019-07-04 13:12:01 UTC,F,F,F,F,T,F,F,F,F,F,F,F,189,439,250,NA,NA,NA
ahmetaa/leblebi,T,0,Maven,11,5,2013-12-25 19:48:26 UTC,2017-03-27 11:30:44 UTC,F,F,F,F,T,F,F,F,T,F,F,F,24,64,40,NA,NA,NA
akquinet/needle,T,0,Maven,23,6,2012-03-31 11:54:13 UTC,2020-06-15 20:09:45 UTC,F,F,F,F,T,F,F,F,F,F,F,F,454,787,333,NA,NA,NA
automenta/jake2,T,0,Maven,0,1,2016-03-20 04:23:14 UTC,2016-09-21 22:35:39 UTC,T,F,F,F,T,F,F,F,F,F,F,F,354,1804,1450,NA,NA,NA
beaucoup4j/elle,T,0,Maven,1,1,2015-01-06 20:52:51 UTC,2016-06-20 17:23:24 UTC,F,F,F,F,T,F,F,F,F,F,F,F,11,28,17,NA,NA,NA
benmonro/roolie,T,0,Ant,0,7,2012-08-10 05:45:02 UTC,2012-08-10 05:46:04 UTC,T,F,F,F,F,F,F,T,F,F,F,F,231,280,49,NA,NA,NA
burningdark1007/Tmall,F,1,Maven,0,1,2019-12-24 06:22:41 UTC,2020-07-02 01:44:35 UTC,F,F,F,F,T,F,F,F,T,F,F,F,919,799,0,uncategorized,MojoExecution:maven-clean-plugin,NA
cellsrg/tabbyxl,T,0,Maven,2,2,2017-05-19 06:51:46 UTC,2018-07-08 02:56:30 UTC,F,F,F,F,T,F,F,F,F,F,F,F,62,134,72,NA,NA,NA
chipKIT32/chipKIT-importer-2.0,F,1,Ant,0,5,2017-08-04 17:32:05 UTC,2020-01-03 10:57:34 UTC,T,F,F,F,F,F,F,F,F,T,F,F,247,247,0,file not found,CannotImport,NA
cloudera/kitten,T,0,Maven,132,37,2012-06-21 21:21:03 UTC,2018-11-14 11:08:58 UTC,F,F,F,F,T,F,F,F,F,F,F,F,102,302,200,NA,NA,NA
cltl/OntoTagger,T,0,Maven,8,3,2013-07-10 09:17:37 UTC,2019-09-25 10:21:23 UTC,F,F,F,F,T,F,F,F,T,F,F,F,65,88,23,NA,NA,NA
codahale/shamir,T,0,Maven,141,44,2017-04-13 15:59:23 UTC,2019-07-17 21:20:14 UTC,F,F,F,F,T,F,F,F,F,F,F,F,28,155,127,NA,NA,NA
codeurjc/Spring-T4-Security,NA,NA,NA,1,2,2016-10-20 13:26:32 UTC,2019-11-14 15:36:50 UTC,F,F,F,F,T,F,F,F,F,F,F,F,268,268,0,NA,NA,NA
codeurjc/Spring-T5-Deployment,NA,NA,NA,1,2,2016-10-20 13:27:44 UTC,2019-10-31 14:22:27 UTC,F,F,F,F,T,F,F,F,F,F,F,F,95,95,0,NA,NA,NA
davidhjp/hmpsoc,T,0,Gradle,0,1,2015-05-10 09:56:13 UTC,2019-02-06 10:47:14 UTC,F,F,T,F,F,F,F,F,F,F,F,F,60,126,66,NA,NA,NA
dbpedia/chatbot,T,0,Maven,86,22,2017-05-08 11:32:09 UTC,2018-05-12 01:35:23 UTC,F,F,T,T,T,F,F,F,T,F,F,T,233,33093,32860,NA,NA,NA
devonfw/devon4j,T,0,Maven,35,44,2018-09-12 11:59:38 UTC,2020-06-05 05:51:31 UTC,F,F,F,F,T,F,F,F,F,F,T,F,1360,3205,1845,NA,NA,NA
eclipse/reddeer,T,0,Maven,32,41,2012-07-24 11:57:52 UTC,2020-07-16 20:49:42 UTC,F,F,F,F,T,F,F,T,F,F,F,F,2584,6730,4146,NA,NA,NA
edkek/HippyJava,T,0,Maven,17,11,2013-02-06 20:44:48 UTC,2017-11-05 22:52:10 UTC,F,F,F,F,T,F,F,F,F,F,F,F,46,110,64,NA,NA,NA
emenaceb/appjar,T,0,Maven,2,1,2016-02-15 21:19:48 UTC,2018-11-05 11:28:53 UTC,F,F,F,F,T,F,F,F,F,F,F,F,50,206,156,NA,NA,NA
erik-wramner/JmsTools,F,1,Maven,2,5,2016-06-06 16:26:04 UTC,2020-01-08 21:16:05 UTC,F,F,F,F,T,F,F,F,F,F,F,F,287,297,10,Java compilation,MojoFailure:maven-compiler-plugin,unknown
ethendev/jdruid,T,0,Maven,0,1,2016-09-21 04:05:07 UTC,2018-09-27 15:24:55 UTC,F,F,F,F,T,F,F,F,F,F,F,F,89,203,114,NA,NA,NA
evenholm/test52,T,0,Ant,0,2,2017-03-21 03:17:58 UTC,2017-03-21 03:33:26 UTC,T,F,F,F,F,F,F,T,F,F,T,F,12,12,0,NA,NA,NA
