BiosemanticsDotOrg/GeneDiseasePaper,NA,NA,NA,4,1,2015-07-07 08:37:12 UTC,2016-11-24 14:10:58 UTC,T,F,F,F,F,F,F,T,T,T,F,F,1162,1162,0,NA,NA,NA
BlWasp/multi-user_Dungeon,NA,NA,NA,2,2,2018-12-04 13:46:40 UTC,2019-03-28 13:04:56 UTC,F,F,F,F,F,F,F,F,T,F,F,F,41,41,0,NA,NA,NA
Blank-mind/scaffold,T,0,Maven,0,1,2018-03-03 01:34:27 UTC,2018-03-26 14:40:15 UTC,F,F,F,F,T,F,F,F,T,F,F,F,107,140,33,NA,NA,NA
BloodShura/VenusScript,F,1,Maven,13,1,2016-05-09 00:06:01 UTC,2019-06-04 22:18:41 UTC,F,F,F,F,T,F,F,F,T,F,F,F,219,896,677,documentation generation,MojoExecution:maven-javadoc-plugin,NA
BorderTech/wcomponents,T,0,Maven,18,19,2015-03-10 02:59:08 UTC,2020-07-06 15:16:51 UTC,T,F,F,T,T,F,F,F,T,F,T,T,2455,33691,31236,NA,NA,NA
CS2103AUG2016-W11-C1/main,F,1,Gradle,2,1,2016-09-16 00:55:16 UTC,2016-11-08 07:10:05 UTC,F,F,T,F,F,F,F,F,T,F,T,F,256,272,16,Java compilation,CompilationFailed,package javafx.collections does not exist
Cantara/ConfigService-Dashboard,F,1,Maven,1,1,2016-04-19 07:32:35 UTC,2020-07-18 09:49:05 UTC,F,F,F,F,T,F,F,F,T,F,F,F,166,674,508,documentation generation,MojoExecution:maven-javadoc-plugin,NA
ChronoSky/java_for_testing,NA,NA,NA,0,1,2017-06-06 12:57:31 UTC,2017-08-20 18:26:53 UTC,F,F,T,F,F,F,F,F,T,F,F,F,134,134,0,NA,NA,NA
ChronosX88/JGUN,T,0,Gradle,6,3,2019-05-03 08:26:07 UTC,2019-10-11 13:29:53 UTC,F,F,T,F,F,F,F,F,T,F,F,F,45,206,161,NA,NA,NA
Cognifide/IntelliJ-Shortcuts-For-AEM,NA,NA,NA,12,2,2016-09-23 09:54:04 UTC,2017-02-05 14:22:05 UTC,F,F,F,F,F,F,F,F,T,F,F,F,22,22,0,NA,NA,NA
ConstellationHoundDogs/DBUtil,F,1,Maven,2,1,2013-11-29 20:59:17 UTC,2013-12-03 17:20:48 UTC,F,F,F,F,T,F,F,F,T,F,F,F,129,135,6,Java compilation,MojoFailure:maven-compiler-plugin,Source option 5 is no longer supported. Use 6 or later.
CoolJWB/VulnerabilityPatcher,F,1,Gradle,2,3,2019-01-12 00:58:24 UTC,2020-07-19 23:54:20 UTC,F,F,T,F,F,F,F,F,T,F,F,F,72,88,16,Java compilation,CompilationFailed,package net.minecraft.server.v1_13_R2 does not exist
CriptoCosmo/jdbc-apt-util,T,0,Maven,1,1,2019-03-14 10:08:56 UTC,2019-03-15 15:06:42 UTC,F,F,F,F,T,F,F,F,T,F,F,F,18,44,26,NA,NA,NA
CyberBiology/Genesis,NA,NA,NA,79,28,2018-04-17 12:53:02 UTC,2020-04-19 15:52:48 UTC,F,F,F,F,F,F,F,F,T,F,F,F,14,14,0,NA,NA,NA
CyberSource/cybersource-flex-samples-java,NA,NA,NA,16,22,2016-04-27 16:31:54 UTC,2020-05-20 03:56:16 UTC,F,F,F,F,T,F,F,F,T,F,F,F,44,44,0,NA,NA,NA
DV-Anh/EC-Assignments,NA,NA,NA,0,2,2018-07-28 03:45:26 UTC,2018-08-19 13:46:51 UTC,F,F,F,F,F,F,F,F,T,F,F,F,102,102,0,NA,NA,NA
DanielFGA/Dafny4IntelliJ,F,1,Gradle,0,1,2019-03-27 13:46:10 UTC,2019-07-31 02:07:00 UTC,F,F,T,F,F,F,F,F,T,F,F,F,74,75,1,build files parsing/interpretation,MissingProperty,NA
DavidNovo/storm-simple,F,1,Maven,0,1,2014-04-14 00:38:43 UTC,2019-04-14 20:02:20 UTC,F,F,F,F,T,F,F,F,T,F,F,F,30,38,10,Java compilation,MojoFailure:maven-compiler-plugin,cannot find symbol
Devintia/Commons,F,1,Maven,1,1,2016-05-04 17:35:50 UTC,2017-09-01 15:00:38 UTC,F,F,F,F,T,F,F,F,T,F,F,F,87,87,0,dependencies,DependencyResolution,NA
Dharani-18/Music-library,NA,NA,NA,0,1,2019-05-27 04:01:43 UTC,2019-06-28 08:32:43 UTC,F,F,T,F,F,F,F,F,T,F,F,F,105,105,0,NA,NA,NA
DianaTdr/AVSimulatorProject,F,1,Maven,0,2,2018-01-17 16:45:05 UTC,2018-04-19 15:52:58 UTC,F,F,F,T,T,F,F,F,T,F,F,F,2539,2568,29,Java compilation,MojoFailure:maven-compiler-plugin,bootstrap class path not set in conjunction with -source 8
DimovDimo/software-university-softuni,NA,NA,NA,0,1,2018-05-03 08:47:59 UTC,2020-07-02 01:41:29 UTC,F,F,F,F,T,F,F,F,T,F,F,F,7850,7850,0,NA,NA,NA
Dostoevskey/aeon,F,1,Gradle,0,10,2019-08-15 00:22:45 UTC,2019-08-14 23:54:12 UTC,F,F,T,F,F,F,F,F,T,F,F,F,1336,1337,1,dependencies,ArtifactResolve,NA
DrMerfy/ReadingHood-Server,F,1,Gradle,3,1,2017-12-18 17:51:04 UTC,2018-02-12 05:42:30 UTC,T,F,T,F,T,F,F,F,T,T,F,F,88,89,1,configuration,DuplicateTask,NA
Dremov/twu-biblioteca-andrew,NA,NA,NA,0,1,2019-01-24 01:49:28 UTC,2019-02-11 16:22:42 UTC,F,F,F,F,F,F,F,F,T,F,F,F,48,48,0,NA,NA,NA
Dxoca/Algorithm_LanQiao,F,1,Maven,7,3,2019-06-27 09:17:45 UTC,2019-07-21 04:23:36 UTC,F,F,F,F,T,F,F,F,T,F,F,F,338,367,29,Java compilation,MojoFailure:maven-compiler-plugin,unmappable character (0xE5) for encoding US-ASCII
ED6/c-code-parallelizer,NA,NA,NA,0,1,2016-06-09 02:18:09 UTC,2016-06-15 17:58:17 UTC,F,F,F,F,F,F,F,F,T,F,F,F,156,156,0,NA,NA,NA
ENPM613-MEGA/ClassProject,NA,NA,NA,0,3,2018-09-20 01:38:23 UTC,2018-12-08 04:56:49 UTC,F,F,F,F,T,F,F,F,T,F,F,F,287,287,0,NA,NA,NA
EdgecraftDevelopmentTeam/UHCCore,NA,NA,NA,1,3,2018-07-29 10:33:52 UTC,2019-01-08 20:24:08 UTC,F,F,F,F,F,F,F,F,T,F,F,F,39,39,0,NA,NA,NA
ElaBosak233/EusRECALL,F,1,Maven,0,1,2020-02-07 14:01:23 UTC,2020-06-02 21:21:06 UTC,F,F,F,F,T,F,F,F,T,F,F,F,29,41,12,Java compilation,MojoFailure:maven-compiler-plugin,package com.sun.org.apache.regexp.internal does not exist
EleTeam/Shop-for-JavaWeb,F,1,Maven,360,251,2016-03-12 00:39:48 UTC,2017-05-02 07:00:35 UTC,T,F,F,F,T,F,F,F,T,F,F,F,7796,7796,0,dependencies,DependencyResolution,NA
EugeneYilia/FusionShell,F,1,Maven,0,2,2018-07-06 13:30:17 UTC,2018-07-08 11:30:58 UTC,F,F,F,F,T,F,F,F,T,F,F,F,95,103,8,Java compilation,MojoFailure:maven-compiler-plugin,Source option 5 is no longer supported. Use 6 or later.
EvidentSolutions/elasticsearch-analysis-voikko,F,1,Gradle,6,7,2017-01-16 20:58:33 UTC,2019-09-18 11:47:15 UTC,F,F,T,F,F,F,F,F,T,F,F,F,49,52,3,uncategorized,Gradle:generateGlobalBuildInfo,NA
EwyBoy/INFO-216,NA,NA,NA,1,1,2019-02-12 08:55:06 UTC,2019-05-23 18:38:00 UTC,F,F,F,F,T,F,F,F,T,F,F,F,271,271,0,NA,NA,NA
Execyute/CDN-FX-2,NA,NA,NA,0,1,2017-01-15 14:46:12 UTC,2017-01-15 14:51:38 UTC,F,F,F,F,F,F,F,F,T,F,F,F,52,52,0,NA,NA,NA
Expugn/S-argo,T,0,Maven,3,3,2017-09-09 07:35:24 UTC,2019-09-23 11:53:45 UTC,F,F,F,F,T,F,F,F,T,F,F,F,108,213,105,NA,NA,NA
EzioL/plugin-gen-turbo,NA,NA,NA,16,2,2019-04-21 14:52:29 UTC,2020-01-06 02:21:49 UTC,F,F,F,F,F,F,F,F,T,F,F,F,19,19,0,NA,NA,NA
FAForever/faf-moderator-client,T,0,Gradle,2,4,2017-11-11 00:24:48 UTC,2020-07-15 19:31:07 UTC,F,F,T,F,F,F,F,F,T,F,T,F,190,458,268,NA,NA,NA
FiveTwoTeam/LogisticsManagementSystem,F,1,Maven,1,2,2017-09-12 01:37:34 UTC,2017-09-28 07:05:27 UTC,F,F,F,F,T,F,F,F,T,F,F,F,537,537,0,dependencies,DependencyResolution,NA
FrankYJY/Genealogy-Management-System,NA,NA,NA,1,2,2020-07-05 12:02:18 UTC,2020-07-14 09:27:31 UTC,F,F,F,F,F,F,F,F,T,F,F,F,108,108,0,NA,NA,NA
GeyserMC/GeyserConnect,T,0,Maven,22,4,2020-06-16 00:04:42 UTC,2020-07-16 17:36:33 UTC,F,F,F,F,T,F,F,F,T,F,F,F,57,116,59,NA,NA,NA
Great-Li-Xin/LiMe,NA,NA,NA,112,9,2018-10-14 05:52:01 UTC,2020-05-02 07:24:51 UTC,F,F,F,F,F,F,F,F,T,F,T,F,222,222,0,NA,NA,NA
Group4-ProjectCourse/HotelManagementApp,NA,NA,NA,1,1,2019-11-22 11:03:19 UTC,2020-01-22 16:24:47 UTC,F,F,F,F,F,F,F,F,T,F,F,F,192,192,0,NA,NA,NA
HEIG-GAPS/slasher,F,1,Maven,0,1,2015-12-17 15:35:03 UTC,2018-08-28 14:41:50 UTC,F,F,F,F,T,F,F,F,T,F,F,F,220,239,19,dependencies,DependencyResolution,NA
HackDay2018/postgres-analyzer,F,1,Maven,0,2,2018-01-26 08:32:16 UTC,2018-11-30 15:08:52 UTC,F,F,F,F,T,F,F,F,T,F,F,F,48,59,11,Java compilation,MojoExecution:maven-compiler-plugin,java.lang.ExceptionInInitializerError: com.sun.tools.javac.code.TypeTags
HarunasanOldDrivers/Harunasan_Driving-Testing-System,NA,NA,NA,0,1,2018-11-13 17:01:41 UTC,2019-04-18 08:10:37 UTC,F,F,F,F,T,F,F,F,T,F,F,F,62,62,0,NA,NA,NA
HelenWu11/DNSManager,NA,NA,NA,0,1,2019-07-28 04:30:06 UTC,2019-07-28 04:13:17 UTC,F,F,F,F,F,F,F,F,T,F,F,F,15,15,0,NA,NA,NA
HouariZegai/SpoCom,F,1,Gradle,9,1,2018-06-19 15:35:53 UTC,2020-04-17 17:45:07 UTC,F,F,T,F,F,F,F,F,T,T,F,F,97,97,0,dependencies,ArtifactResolve,NA
HouariZegai/Tutorials,NA,NA,NA,56,46,2018-03-28 18:29:54 UTC,2020-07-10 21:42:49 UTC,F,F,F,F,T,F,F,F,T,F,F,F,164,164,0,NA,NA,NA
HubSpot/Baragon,T,0,Maven,101,25,2013-11-05 15:51:09 UTC,2020-07-17 18:54:15 UTC,F,F,F,T,T,F,F,F,T,F,T,T,623,41538,40915,NA,NA,NA
ICGC-TCGA-PanCancer/CGP-Somatic-Docker,F,1,Maven,8,6,2016-01-15 14:28:26 UTC,2019-05-14 02:09:36 UTC,F,F,F,F,T,F,F,F,T,F,T,F,65,65,0,dependencies,DependencyResolution,NA
IHIW/IHIW_Management,T,0,Maven,3,2,2019-08-29 17:01:49 UTC,2020-07-07 13:44:47 UTC,F,F,F,T,T,F,F,F,T,F,F,T,766,96487,95721,NA,NA,NA
Iamkosgei/Hero-Squad,T,0,Gradle,0,2,2019-04-12 13:34:03 UTC,2019-04-14 13:59:59 UTC,F,F,T,F,F,F,F,F,T,F,F,F,45,98,53,NA,NA,NA
Iamkosgei/WildlifeTracker,T,0,Gradle,0,3,2019-04-26 13:20:21 UTC,2019-05-01 04:10:13 UTC,F,F,T,F,F,F,F,F,T,F,F,F,48,100,52,NA,NA,NA
IanDoyleIrl/IPCAM_Recorder,F,1,Maven,1,2,2013-01-09 23:34:40 UTC,2014-01-08 00:41:08 UTC,F,F,F,F,T,F,F,F,T,F,F,F,167,167,0,dependencies,DependencyResolution,NA
Invivoo/ViV-Wallet,F,1,Maven,4,4,2019-03-06 16:11:48 UTC,2020-07-21 13:54:49 UTC,F,F,F,T,T,F,F,F,T,F,F,T,135,52693,52558,other build tool integration,MojoFailure:frontend-maven-plugin,NA
J360-ME/j360-rpc,F,1,Maven,0,2,2017-05-16 14:36:45 UTC,2017-05-27 13:35:36 UTC,F,F,F,F,T,F,F,F,T,F,F,F,77,81,4,Java compilation,MojoFailure:maven-compiler-plugin,"Failure executing javac, but could not parse the error:"
JPWatson/sbe-generators,T,0,Gradle,0,4,2019-03-21 22:42:42 UTC,2020-01-23 08:59:14 UTC,F,F,T,F,F,F,F,F,T,F,F,F,22,53,31,NA,NA,NA
JamesEllerbee/Math-Language-Application,NA,NA,NA,0,1,2019-08-24 16:35:09 UTC,2020-05-24 16:43:26 UTC,F,F,F,T,F,F,F,F,T,F,F,F,152,152,0,NA,NA,NA
JavaITMO/JavaLessons,NA,NA,NA,1,1,2018-03-29 06:01:05 UTC,2018-04-05 18:36:31 UTC,F,F,F,F,F,F,F,F,T,F,F,F,14,14,0,NA,NA,NA
Jecced/ccc_buider,NA,NA,NA,14,2,2020-04-15 04:25:31 UTC,2020-05-07 09:16:41 UTC,F,F,F,F,F,F,F,F,T,F,F,F,45,45,0,NA,NA,NA
JeemyJohn/AnomalyDetection,T,0,Maven,193,40,2017-06-26 10:42:04 UTC,2017-08-18 15:38:28 UTC,F,F,F,F,T,F,F,F,T,F,F,F,12,31,19,NA,NA,NA
JeffreyWei/PatternViaJava,F,1,Maven,33,22,2013-12-05 08:22:10 UTC,2015-05-11 12:52:22 UTC,F,F,F,F,T,F,F,F,T,F,T,F,233,998,765,documentation generation,MojoExecution:maven-javadoc-plugin,NA
JerzyPuchalski/Android-DPI-Calculator,NA,NA,NA,241,34,2015-06-25 15:21:35 UTC,2016-12-15 09:44:06 UTC,F,F,F,F,F,F,F,F,T,F,F,F,31,31,0,NA,NA,NA
JetBrains/teamcity-aws-codepipeline-plugin,T,0,Gradle,7,8,2016-04-19 17:21:04 UTC,2020-01-18 23:23:34 UTC,F,F,T,F,F,F,F,F,T,F,F,F,55,158,103,NA,NA,NA
